trials.thisTrialN,trials.stepSize,trials.intensity,fixtation.started,grating.started,key_resp.started,fixtation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
40,0.5,4.5,55.835462799994275,56.31936960015446,56.31936960015446,56.33662510011345,56.6196690001525,left,-4.5,1,1,0.5362546998076141,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
41,0.5,4.5,56.88616010011174,57.387028200086206,57.387028200086206,57.387028200086206,57.686478400137275,right,4.5,1,1,0.3527187998406589,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
42,0.5,4.5,57.77034620009363,58.25376670015976,58.25376670015976,58.27031290018931,58.553889100207016,right,4.5,1,1,0.7094690997619182,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
43,0.5,4.0,58.987037600018084,59.48716410016641,59.48716410016641,59.48716410016641,59.78739020018838,right,4.0,1,1,0.5902849999256432,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
44,0.5,4.0,60.104264200199395,60.588318900205195,60.588318900205195,60.60482200002298,60.88821880007163,right,4.0,0,0,0.4650245998054743,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
45,0.5,4.5,61.071427300106734,61.57205460011028,61.57205460011028,61.57205460011028,,right,4.5,1,1,0.03547209990210831,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
46,0.5,4.5,61.63804610003717,62.1384344000835,62.1384344000835,62.1384344000835,62.43830780009739,right,4.5,1,1,0.45887299976311624,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
47,0.5,4.5,62.622517600189894,63.12226840015501,63.12226840015501,63.12226840015501,63.42201380012557,left,-4.5,1,1,0.5619306999724358,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
48,0.5,4.0,63.706031900132075,64.20535340020433,64.20535340020433,64.20535340020433,64.50590750016272,right,4.0,1,1,0.307928099995479,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
49,0.5,4.0,64.5392949001398,65.02274899999611,65.02274899999611,65.0393479000777,65.3227161001414,right,4.0,1,1,0.364078399958089,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
